num_step,output_value
0,0.25528156757354736
1,0.14769965410232544
2,0.08341214805841446
3,0.04806363210082054
4,0.0401761420071125
5,0.02977660857141018
6,0.027192512527108192
7,0.025902794674038887
8,0.02266629971563816
9,0.02112714946269989
10,0.020150789991021156
11,0.01959204487502575
12,0.01856428198516369
13,0.01764136552810669
14,0.017070459201931953
15,0.016332486644387245
16,0.015473375096917152
17,0.014823351986706257
18,0.014418131671845913
19,0.013964911922812462
20,0.013353430666029453
21,0.012898905202746391
22,0.012413909658789635
23,0.011841165833175182
24,0.011547556146979332
25,0.01116680447012186
26,0.010748863220214844
27,0.010352867655456066
28,0.009991205297410488
29,0.009729497134685516
30,0.009537034668028355
31,0.009455530904233456
32,0.00941545981913805
33,0.009276499971747398
34,0.009136596694588661
35,0.009013691917061806
36,0.00893338955938816
37,0.008849679492413998
38,0.008821418508887291
39,0.00876235868781805
40,0.008654971607029438
41,0.008652384392917156
42,0.008769829757511616
43,0.008801309391856194
44,0.008977212943136692
45,0.009131581522524357
46,0.009279707446694374
47,0.009655337780714035
48,0.010248350910842419
49,0.012480790726840496
